CustomerID,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore
16191,2,13,5180.52,1,1,1,111
12621,1,20,13689.67,1,1,1,111
17655,10,7,2638.94,1,1,1,111
17706,4,17,10504.49,1,1,1,111
14156,9,55,117379.63,1,1,1,111
13668,2,21,6363.59,1,1,1,111
17629,5,8,1814.12,1,1,1,111
13230,4,14,2806.97,1,1,1,111
16401,1,12,4098.32,1,1,1,111
16923,12,19,7247.61,1,1,1,111
15078,7,32,9743.11,1,1,1,111
15152,9,13,4745.69,1,1,1,111
17419,11,12,4226.57,1,1,1,111
14607,15,14,16569.5,1,1,1,111
15382,14,6,5955.71,1,1,1,111
15547,7,14,4954.84,1,1,1,111
18044,4,10,2088.6,1,1,1,111
15089,10,6,2420.84,1,1,1,111
15903,9,7,5126.76,1,1,1,111
12627,10,7,4478.53,1,1,1,111
15856,4,27,16387.57,1,1,1,111
12957,9,8,4017.54,1,1,1,111
17381,8,29,20275.61,1,1,1,111
13755,3,9,2161.35,1,1,1,111
17428,0,28,17256.85,1,1,1,111
16057,16,7,2263.12,1,1,1,111
13994,3,6,2313.14,1,1,1,111
15005,15,28,6316.57,1,1,1,111
17576,8,19,3622.68,1,1,1,111
17725,16,11,3439.08,1,1,1,111
13784,9,11,2462.79,1,1,1,111
17346,3,15,2676.56,1,1,1,111
14408,10,7,2606.53,1,1,1,111
13881,3,20,17159.52,1,1,1,111
16327,14,6,3844.22,1,1,1,111
14796,1,17,8022.49,1,1,1,111
16775,10,11,1695.66,1,1,1,111
14415,1,13,5900.28,1,1,1,111
13319,5,26,10845.55,1,1,1,111
12955,1,11,4757.16,1,1,1,111
18102,0,60,259657.3,1,1,1,111
14282,3,15,3729.34,1,1,1,111
17757,1,30,5605.29,1,1,1,111
15796,1,8,2711.56,1,1,1,111
12757,15,13,7857.1,1,1,1,111
17949,1,45,58510.48,1,1,1,111
17365,12,8,4801.56,1,1,1,111
14051,0,23,15610.39,1,1,1,111
14733,16,12,9585.91,1,1,1,111
16701,8,13,5398.3,1,1,1,111
16265,9,9,5447,1,1,1,111
15498,2,27,13316.4,1,1,1,111
15214,1,8,1661.44,1,1,1,111
16839,8,34,16594.35,1,1,1,111
16814,14,21,6509.1,1,1,1,111
17705,3,9,1823.52,1,1,1,111
14056,1,23,8214.65,1,1,1,111
15311,0,91,60767.9,1,1,1,111
17686,7,7,5739.46,1,1,1,111
15570,7,12,4165.52,1,1,1,111
14367,8,16,9261.52,1,1,1,111
17530,1,10,2385,1,1,1,111
14739,4,7,3902.28,1,1,1,111
17086,7,6,2050.08,1,1,1,111
13599,1,21,5153.67,1,1,1,111
17861,3,8,2100.8,1,1,1,111
15061,3,48,54534.14,1,1,1,111
15046,9,15,5213.77,1,1,1,111
17133,15,7,4892.24,1,1,1,111
13704,5,9,2308.06,1,1,1,111
12921,9,37,16587.09,1,1,1,111
16746,4,18,6697.66,1,1,1,111
16161,1,19,5575.56,1,1,1,111
15189,1,41,16225.39,1,1,1,111
15358,4,22,8347.2,1,1,1,111
13102,1,24,6424.09,1,1,1,111
15039,9,47,19914.44,1,1,1,111
14189,2,15,4654.08,1,1,1,111
16905,5,7,3102.43,1,1,1,111
17090,4,7,2043.95,1,1,1,111
17001,0,11,3989.57,1,1,1,111
13709,3,13,6328.05,1,1,1,111
16764,3,13,2799.25,1,1,1,111
16426,2,10,1908.25,1,1,1,111
13225,3,7,6463.84,1,1,1,111
18241,9,17,2073.09,1,1,1,111
13014,10,10,3466.28,1,1,1,111
14866,10,12,14389.9,1,1,1,111
17139,15,12,10668.47,1,1,1,111
12362,3,10,5226.23,1,1,1,111
17450,8,46,194550.79,1,1,1,111
16549,10,10,4154.64,1,1,1,111
13590,11,6,1981.92,1,1,1,111
17857,4,23,26879.04,1,1,1,111
13650,16,6,1836.34,1,1,1,111
16210,1,18,21086.3,1,1,1,111
12562,8,7,3781.74,1,1,1,111
16719,14,7,1790.42,1,1,1,111
15021,8,9,1914.82,1,1,1,111
14503,3,6,3543.26,1,1,1,111
12727,10,7,3980.7,1,1,1,111
13090,8,14,8910.82,1,1,1,111
12433,0,7,13375.87,1,1,1,111
15373,8,12,2415.91,1,1,1,111
14653,1,7,1947.55,1,1,1,111
16931,5,21,4604.22,1,1,1,111
17730,3,13,5298.48,1,1,1,111
15298,2,12,4799.9,1,1,1,111
14422,0,6,4263.64,1,1,1,111
14243,8,10,2588.77,1,1,1,111
15024,9,10,1661.33,1,1,1,111
13408,1,62,28117.04,1,1,1,111
13098,1,28,28882.44,1,1,1,111
14713,9,11,2666.36,1,1,1,111
16145,8,11,3799.49,1,1,1,111
16684,4,28,66653.56,1,1,1,111
13999,10,12,3901.81,1,1,1,111
16033,5,20,8816.4,1,1,1,111
14907,3,7,3501.1,1,1,1,111
15218,10,11,5756.89,1,1,1,111
16333,7,22,26626.8,1,1,1,111
13069,0,24,4436.12,1,1,1,111
18229,11,20,7276.9,1,1,1,111
14299,8,9,3965.62,1,1,1,111
13458,7,14,9646.57,1,1,1,111
15033,4,10,2586.67,1,1,1,111
14606,1,93,12156.65,1,1,1,111
12901,8,28,17654.54,1,1,1,111
13139,16,7,5064.94,1,1,1,111
14032,2,11,2975.59,1,1,1,111
12598,9,8,3023.08,1,1,1,111
12569,2,32,4124.69,1,1,1,111
14701,10,9,2549.37,1,1,1,111
12963,8,8,1856.63,1,1,1,111
13969,7,18,9053.94,1,1,1,111
16609,15,7,5493.46,1,1,1,111
12783,2,6,2225.91,1,1,1,111
14825,3,12,2226.91,1,1,1,111
18219,2,10,2069.77,1,1,1,111
13050,14,17,5836.86,1,1,1,111
13394,1,8,2520.02,1,1,1,111
13001,4,13,9818.82,1,1,1,111
17449,2,7,2520.86,1,1,1,111
14527,2,55,8508.82,1,1,1,111
14085,2,18,4448.54,1,1,1,111
13198,10,6,3401.24,1,1,1,111
16133,3,33,14589.04,1,1,1,111
13113,0,24,12245.96,1,1,1,111
14730,1,8,2005.06,1,1,1,111
13758,11,7,3190.55,1,1,1,111
13870,2,8,2770.94,1,1,1,111
15755,10,6,2364.25,1,1,1,111
16168,10,27,3787.6,1,1,1,111
14534,2,18,4447.05,1,1,1,111
15993,8,7,2797.57,1,1,1,111
12471,2,30,19824.05,1,1,1,111
14088,10,13,50491.81,1,1,1,111
14298,8,44,51527.3,1,1,1,111
17567,7,8,4331.48,1,1,1,111
17511,2,31,91062.38,1,1,1,111
13081,11,11,28337.38,1,1,1,111
17364,0,11,4481.18,1,1,1,111
16813,8,10,1692.98,1,1,1,111
14572,3,7,2832.84,1,1,1,111
14390,10,9,4652.82,1,1,1,111
16156,8,9,3122.04,1,1,1,111
17228,15,8,1906.09,1,1,1,111
12684,7,7,2283.63,1,1,1,111
14262,8,8,2618.23,1,1,1,111
15514,12,11,4139.46,1,1,1,111
14388,10,8,3212.84,1,1,1,111
13756,2,14,5189.52,1,1,1,111
14209,10,6,2073.43,1,1,1,111
12417,3,9,3649.1,1,1,1,111
12720,2,25,5781.73,1,1,1,111
14397,2,19,2612.96,1,1,1,111
13588,15,9,2478.95,1,1,1,111
12423,0,8,1859.31,1,1,1,111
12856,7,6,2179.93,1,1,1,111
17218,4,10,1960.72,1,1,1,111
13953,7,7,3515.68,1,1,1,111
13199,3,38,9817.12,1,1,1,111
15194,3,15,7616.53,1,1,1,111
14755,9,11,5010.28,1,1,1,111
17188,11,7,2474.23,1,1,1,111
12662,0,11,3849.78,1,1,1,111
18225,3,12,5509.12,1,1,1,111
18077,8,11,2633.01,1,1,1,111
15867,5,15,3812.64,1,1,1,111
16954,0,9,2085.08,1,1,1,111
17651,11,10,3945,1,1,1,111
17528,1,8,3628.5,1,1,1,111
16359,7,9,1750.92,1,1,1,111
13831,16,6,2202.99,1,1,1,111
17183,7,6,3347.31,1,1,1,111
13777,0,33,25977.16,1,1,1,111
13267,2,19,4521.49,1,1,1,111
14096,4,17,65164.79,1,1,1,111
16942,12,9,1920.59,1,1,1,111
12748,0,210,33719.73,1,1,1,111
13769,2,10,2796.51,1,1,1,111
13305,4,10,2000.86,1,1,1,111
16558,0,20,8338.49,1,1,1,111
12989,3,15,6924.11,1,1,1,111
15351,12,7,1960.11,1,1,1,111
14562,3,18,5074.77,1,1,1,111
18179,9,6,1793.17,1,1,1,111
14060,4,19,6140.42,1,1,1,111
16592,4,16,4113.68,1,1,1,111
13184,14,10,1701.29,1,1,1,111
15159,1,30,18641.01,1,1,1,111
12583,2,15,7281.38,1,1,1,111
17451,1,7,1721.4,1,1,1,111
14667,10,25,9241.2,1,1,1,111
13854,8,25,8109.52,1,1,1,111
16626,0,17,4413.1,1,1,1,111
13018,16,28,7277.7,1,1,1,111
15034,15,8,4308.61,1,1,1,111
17735,2,19,13110.02,1,1,1,111
15932,4,8,2495.87,1,1,1,111
12705,15,9,6868.29,1,1,1,111
15838,11,19,33643.08,1,1,1,111
13924,1,6,1838.85,1,1,1,111
16678,2,12,3109.99,1,1,1,111
13890,1,10,1883.81,1,1,1,111
13013,1,13,4810.94,1,1,1,111
13418,11,18,6127.43,1,1,1,111
16712,9,11,3645.43,1,1,1,111
17739,11,7,2791.35,1,1,1,111
16705,0,20,14034.99,1,1,1,111
14334,16,8,2552.21,1,1,1,111
13437,14,7,3408.06,1,1,1,111
17426,8,6,5037.26,1,1,1,111
14062,9,12,10464.85,1,1,1,111
12681,14,22,13787.54,1,1,1,111
18230,9,7,2810.2,1,1,1,111
17920,4,17,4204.1,1,1,1,111
13266,11,12,3834.26,1,1,1,111
13767,2,37,17220.36,1,1,1,111
16326,5,14,3110.96,1,1,1,111
14215,11,6,1789.72,1,1,1,111
15953,15,8,1659.38,1,1,1,111
14709,15,13,4921.04,1,1,1,111
18092,2,11,9068.26,1,1,1,111
15632,15,8,3285.31,1,1,1,111
16983,12,7,1931.25,1,1,1,111
15687,8,9,2993.1,1,1,1,111
14309,8,9,2352.53,1,1,1,111
17490,0,7,2092.32,1,1,1,111
18210,1,6,2621.38,1,1,1,111
14560,7,22,2237.77,1,1,1,111
18272,2,6,3078.58,1,1,1,111
17306,10,19,8631.31,1,1,1,111
15727,16,7,5178.96,1,1,1,111
14868,3,8,2953.59,1,1,1,111
17644,1,11,2895.64,1,1,1,111
13534,2,25,5870.08,1,1,1,111
13263,1,35,7454.07,1,1,1,111
12839,2,14,5591.42,1,1,1,111
13448,16,6,3539.37,1,1,1,111
15023,3,11,6802.76,1,1,1,111
14291,1,11,3883.25,1,1,1,111
18283,3,16,2094.88,1,1,1,111
14099,16,11,3104.17,1,1,1,111
18245,7,7,2567.06,1,1,1,111
18041,11,21,4183.39,1,1,1,111
14961,10,9,7044.68,1,1,1,111
17677,1,30,16363.23,1,1,1,111
17049,2,9,5659.98,1,1,1,111
16782,10,13,2279.9,1,1,1,111
17581,0,25,11045.04,1,1,1,111
15251,9,11,10484.99,1,1,1,111
16011,8,16,3362.71,1,1,1,111
17422,16,6,1979.37,1,1,1,111
17975,15,13,4488.81,1,1,1,111
15769,7,26,56252.72,1,1,1,111
16360,4,6,3512.53,1,1,1,111
13742,16,12,3131.02,1,1,1,111
17954,5,12,2332.72,1,1,1,111
15640,4,15,12515.66,1,1,1,111
16873,4,6,7123.62,1,1,1,111
17750,5,9,1797.57,1,1,1,111
18122,8,6,1826.21,1,1,1,111
12528,9,6,1933.48,1,1,1,111
15984,2,10,2837.67,1,1,1,111
13137,10,8,3650.41,1,1,1,111
14688,7,21,5630.87,1,1,1,111
14135,1,15,4690.31,1,1,1,111
17315,1,38,6292.26,1,1,1,111
12766,3,7,6989.63,1,1,1,111
16255,16,8,2619.91,1,1,1,111
15555,12,16,4805.17,1,1,1,111
14132,2,11,3586.03,1,1,1,111
13089,2,97,58825.83,1,1,1,111
12935,2,7,2160.7,1,1,1,111
13004,11,18,5655.91,1,1,1,111
14696,4,7,2078.95,1,1,1,111
14217,1,17,2004.98,1,1,1,111
15443,1,7,3236.91,1,1,1,111
14178,8,7,1620.93,1,1,1,111
13694,3,50,65039.62,1,1,1,111
15473,14,7,1771.2,1,1,1,111
15270,15,7,2379.49,1,1,1,111
15271,7,15,2507.07,1,1,1,111
16076,3,10,2234.73,1,1,1,111
13985,4,15,7060.13,1,1,1,111
17389,0,34,31833.68,1,1,1,111
17685,16,7,3191.53,1,1,1,111
15804,0,13,4206.39,1,1,1,111
12683,4,15,8476.57,1,1,1,111
15750,2,8,2465.48,1,1,1,111
17858,5,12,5155.66,1,1,1,111
15628,4,9,2870.24,1,1,1,111
16242,8,7,3603.21,1,1,1,111
16570,15,10,3738.4,1,1,1,111
12704,7,8,2340.84,1,1,1,111
14911,1,201,143825.06,1,1,1,111
16987,3,7,1625.05,1,1,1,111
17744,3,6,2322.4,1,1,1,111
16241,9,13,2607.87,1,1,1,111
15144,8,17,6580.44,1,1,1,111
18065,5,14,2392.83,1,1,1,111
16779,2,22,10629.72,1,1,1,111
14401,4,13,4051.48,1,1,1,111
12619,16,9,3641.24,1,1,1,111
12747,2,11,4196.01,1,1,1,111
17673,1,6,1629.12,1,1,1,111
12584,3,9,2338.15,1,1,1,111
15502,15,12,10384.93,1,1,1,111
17841,1,124,40991.57,1,1,1,111
16525,2,26,13027.45,1,1,1,111
17238,2,17,3744.65,1,1,1,111
16672,2,20,8134.94,1,1,1,111
13685,2,7,3119.44,1,1,1,111
16458,2,18,3482.74,1,1,1,111
13536,1,7,3448.29,1,1,1,111
14456,5,9,3062.4,1,1,1,111
18172,14,20,7561.68,1,1,1,111
15544,9,9,3546.71,1,1,1,111
17769,12,10,3997.98,1,1,1,111
17811,4,39,7837.73,1,1,1,111
14092,7,14,4076.91,1,1,1,111
14258,9,9,12669.98,1,1,1,111
13021,4,9,2616.38,1,1,1,111
12347,2,7,4310,1,1,1,111
17682,10,6,2474.33,1,1,1,111
13949,2,6,2427.32,1,1,1,111
14702,1,17,3292.14,1,1,1,111
17491,1,10,3558.87,1,1,1,111
17293,8,9,1875.11,1,1,1,111
13571,12,12,2092.32,1,1,1,111
16966,8,7,2154.97,1,1,1,111
18118,10,26,5653.82,1,1,1,111
18198,4,17,5425.56,1,1,1,111
14180,10,25,4748.52,1,1,1,111
12553,8,10,3692.28,1,1,1,111
15861,12,8,3165.36,1,1,1,111
16474,7,7,1871.5,1,1,1,111
14659,8,9,2529.93,1,1,1,111
13078,3,26,12627.94,1,1,1,111
14031,7,19,17286.86,1,1,1,111
16904,4,16,3754.27,1,1,1,111
16143,3,6,2424.94,1,1,1,111
16818,10,11,3349.57,1,1,1,111
13435,5,7,3809.89,1,1,1,111
12841,4,25,4022.35,1,1,1,111
13269,1,15,5346.23,1,1,1,111
12490,5,10,5417.93,1,1,1,111
15854,4,12,2974.65,1,1,1,111
14895,7,20,11138.71,1,1,1,111
17231,12,10,3174.32,1,1,1,111
17402,4,13,2633.85,1,1,1,111
18223,4,14,6484.54,1,1,1,111
17937,8,7,4301.22,1,1,1,111
15572,4,7,2552.86,1,1,1,111
14432,9,6,2255.51,1,1,1,111
14766,8,6,2473.37,1,1,1,111
15482,15,12,11054.96,1,1,1,111
14711,10,11,2868.8,1,1,1,111
17091,2,9,3827.76,1,1,1,111
15601,11,14,6776.56,1,1,1,111
14547,3,8,4007.54,1,1,1,111
13576,10,18,6717.34,1,1,1,111
16523,1,21,9418.47,1,1,1,111
12524,9,8,4485.72,1,1,1,111
17870,2,12,1894.35,1,1,1,111
17611,7,15,3984.22,1,1,1,111
16670,16,11,4095.9,1,1,1,111
18109,1,26,8052.97,1,1,1,111
13468,1,37,5704.97,1,1,1,111
18144,7,12,2888.75,1,1,1,111
18097,7,6,2697.8,1,1,1,111
15694,0,14,6479.4,1,1,1,111
17173,5,8,3766.6,1,1,1,111
16393,2,13,3046.21,1,1,1,111
12709,15,15,9736.52,1,1,1,111
15615,10,23,10399.74,1,1,1,111
14732,8,8,2702.49,1,1,1,111
14769,2,8,10674.75,1,1,1,111
16115,9,8,1667.97,1,1,1,111
15187,1,16,4777.18,1,1,1,111
17404,4,15,31906.82,1,1,1,111
17675,1,31,20374.28,1,1,1,111
15290,4,18,7943.22,1,1,1,111
13183,7,9,3957.78,1,1,1,111
14292,7,9,4871.93,1,1,1,111
13012,9,8,1661.84,1,1,1,111
17602,2,6,5102.97,1,1,1,111
14110,3,12,5683.15,1,1,1,111
18180,4,6,1843.75,1,1,1,111
16013,3,47,37130.6,1,1,1,111
13426,0,10,3641.32,1,1,1,111
17068,12,21,4552.14,1,1,1,111
14191,1,13,4684.76,1,1,1,111
16407,12,10,2126.93,1,1,1,111
12476,15,11,6816.42,1,1,1,111
17243,1,26,8676.85,1,1,1,111
17924,11,7,2962.5,1,1,1,111
13126,4,8,2099.64,1,1,1,111
16700,8,13,5076.55,1,1,1,111
17017,2,20,8694.26,1,1,1,111
12948,16,7,2064.95,1,1,1,111
14735,3,32,6065.69,1,1,1,111
13630,5,7,2031.78,1,1,1,111
17809,16,12,5411.91,1,1,1,111
16353,3,23,6675.71,1,1,1,111
12664,8,9,4881.88,1,1,1,111
14395,2,9,3507.71,1,1,1,111
18055,7,10,6784.19,1,1,1,111
12971,3,86,11189.91,1,1,1,111
12682,3,31,12288.22,1,1,1,111
17434,2,7,2373.82,1,1,1,111
13798,1,57,37153.85,1,1,1,111
12437,1,18,4951.41,1,1,1,111
12388,15,6,2780.66,1,1,1,111
16979,3,6,1852,1,1,1,111
14194,4,21,11349.52,1,1,1,111
14646,1,74,280206.02,1,1,1,111
17386,7,6,2686.42,1,1,1,111
17412,2,7,1258.06,1,1,2,112
14071,3,8,1438.82,1,1,2,112
14289,8,6,911.26,1,1,2,112
14794,2,7,1319.91,1,1,2,112
12464,10,8,1212.05,1,1,2,112
13610,12,7,1131.88,1,1,2,112
16173,15,6,1418.32,1,1,2,112
13509,8,7,979.72,1,1,2,112
12919,8,6,1335.19,1,1,2,112
14901,11,9,1421.29,1,1,2,112
12877,3,12,1535.77,1,1,2,112
14878,12,9,1485.54,1,1,2,112
13782,12,6,912,1,1,2,112
14083,4,9,1018.43,1,1,2,112
15910,0,8,1232.18,1,1,2,112
16910,4,8,1510.06,1,1,2,112
15916,16,8,1528.09,1,1,2,112
14419,10,6,1058.06,1,1,2,112
14704,11,9,1546.91,1,1,2,112
15737,14,8,1205.12,1,1,2,112
16817,2,9,1604.75,1,1,2,112
16899,7,6,1281.56,1,1,2,112
16929,3,7,1295.39,1,1,2,112
16016,3,8,1508.76,1,1,2,112
15611,9,13,1591.45,1,1,2,112
12951,8,6,1064.07,1,1,2,112
17288,9,7,1419.73,1,1,2,112
12494,15,7,1246.1,1,1,2,112
17323,15,7,921.07,1,1,2,112
16949,3,6,1286.27,1,1,2,112
15987,12,7,1451.28,1,1,2,112
16989,7,6,1133.25,1,1,2,112
16877,12,6,853.72,1,1,2,112
15134,14,8,1387.99,1,1,2,112
17676,4,6,1387.68,1,1,2,112
17135,16,7,1139.73,1,1,2,112
12826,2,7,1474.72,1,1,2,112
16790,3,6,1545.62,1,1,2,112
15602,8,9,1297.87,1,1,2,112
12828,2,6,1018.71,1,1,2,112
13743,2,7,1341.6,1,1,2,112
17097,2,8,954.42,1,1,2,112
17236,12,6,916.13,1,1,2,112
16600,4,6,813.52,1,1,2,112
14741,11,6,1400.34,1,1,2,112
15453,1,7,1388.37,1,1,2,112
13991,12,6,855.97,1,1,2,112
14723,10,6,1158.3,1,1,2,112
